,FED ID,Federal Electoral Districts_x,xNo Certificate,xSecondary School Diploma,xSecondary School Diploma,xUniversity level or above,ï»¿Province,Party Won,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
59,12002,Central Nova,0.24,0.29,0.28,0.19,Nova Scotia,Liberal,24,29,28,19
60,59005,Central Okanagan--Similkameen--Nicola,0.18,0.36,0.27,0.19,British Columba,Conservative,18,36,27,19
61,24019,Charlesbourg--Haute-Saint-Charles,0.18,0.28,0.29,0.25,Quebec,Conservative,18,28,29,25
62,46002,Charleswood--St. James--Assiniboia--Headingley,0.15,0.36,0.23,0.27,Manitoba,Liberal,15,36,23,27
63,11002,Charlottetown,0.15,0.28,0.26,0.31,Prince Edward Island,Liberal,15,28,26,31
64,24021,ChÃ¢teauguay--Lacolle,0.27,0.34,0.23,0.16,Quebec,Liberal,27,34,23,16
65,35017,Chatham-Kent--Leamington,0.28,0.32,0.27,0.13,Ontario,Conservative,28,32,27,13
66,24022,Chicoutimi--Le Fjord,0.24,0.26,0.25,0.25,Quebec,Liberal,24,26,25,25
67,59006,Chilliwack--Hope,0.22,0.41,0.22,0.15,British Columba,Conservative,22,41,22,15
68,46003,Churchill--Keewatinook Aski,0.5,0.27,0.14,0.1,Manitoba,NDP,50,27,14,10
69,59007,Cloverdale--Langley City,0.17,0.38,0.23,0.22,British Columba,Liberal,17,38,23,22
70,10003,Coast of Bays--Central--Notre Dame,0.34,0.3,0.25,0.1,Newfoundland and Labrador,Liberal,34,30,25,10
71,24023,Compton--Stanstead,0.27,0.28,0.23,0.22,Quebec,Liberal,27,28,23,22
72,59008,Coquitlam--Port Coquitlam,0.13,0.33,0.21,0.32,British Columba,Liberal,13,33,21,32
73,59009,Courtenay--Alberni,0.2,0.35,0.25,0.19,British Columba,NDP,20,35,25,19
74,59010,Cowichan--Malahat--Langford,0.19,0.36,0.25,0.2,British Columba,NDP,19,36,25,20
75,12003,Cumberland--Colchester,0.24,0.32,0.27,0.17,Nova Scotia,Liberal,24,32,27,17
76,47002,Cypress Hills--Grasslands,0.24,0.39,0.23,0.14,Saskatchewan,Conservative,24,39,23,14
77,12004,Dartmouth--Cole Harbour,0.16,0.3,0.26,0.29,Nova Scotia,Liberal,16,30,26,29
78,46004,Dauphin--Swan River--Neepawa,0.34,0.34,0.21,0.11,Manitoba,Conservative,34,34,21,11
79,35018,Davenport,0.22,0.25,0.17,0.36,Ontario,Liberal,22,25,17,36
80,59011,Delta,0.16,0.36,0.21,0.26,British Columba,Liberal,16,36,21,26
81,47003,DesnethÃ©--Missinippi--Churchill River,0.48,0.28,0.15,0.09,Saskatchewan,NDP,48,28,15,9
82,35019,Don Valley East,0.16,0.28,0.19,0.37,Ontario,Liberal,16,28,19,37
83,35020,Don Valley North,0.11,0.23,0.16,0.5,Ontario,Liberal,11,23,16,50
84,35021,Don Valley West,0.11,0.2,0.13,0.56,Ontario,Liberal,11,20,13,56
85,24024,Dorval--Lachine--LaSalle,0.21,0.29,0.21,0.28,Quebec,Liberal,21,29,21,28
86,24025,Drummond,0.31,0.29,0.24,0.15,Quebec,NDP,31,29,24,15
87,35022,Dufferin--Caledon,0.18,0.34,0.27,0.21,Ontario,Conservative,18,34,27,21
88,35023,Durham,0.16,0.32,0.32,0.2,Ontario,Conservative,16,32,32,20
89,48014,Edmonton Centre,0.14,0.29,0.19,0.38,Alberta,Liberal,14,29,19,38
90,48015,Edmonton Griesbach,0.27,0.35,0.21,0.17,Alberta,Conservative,27,35,21,17
91,48016,Edmonton Manning,0.21,0.36,0.23,0.2,Alberta,Conservative,21,36,23,20
92,48017,Edmonton Mill Woods,0.18,0.35,0.21,0.26,Alberta,Liberal,18,35,21,26
93,48018,Edmonton Riverbend,0.1,0.24,0.19,0.47,Alberta,Conservative,10,24,19,47
94,48019,Edmonton Strathcona,0.11,0.27,0.18,0.44,Alberta,NDP,11,27,18,44
95,48020,Edmonton West,0.16,0.32,0.22,0.3,Alberta,Conservative,16,32,22,30
96,48021,Edmonton--Wetaskiwin,0.17,0.33,0.23,0.27,Alberta,Conservative,17,33,23,27
97,35024,Eglinton--Lawrence,0.14,0.23,0.15,0.48,Ontario,Liberal,14,23,15,48
98,11003,Egmont,0.28,0.35,0.24,0.13,Prince Edward Island,Liberal,28,35,24,13
99,35025,Elgin--Middlesex--London,0.24,0.32,0.3,0.14,Ontario,Conservative,24,32,30,14
100,46005,Elmwood--Transcona,0.2,0.39,0.22,0.19,Manitoba,NDP,20,39,22,19
101,59026,Esquimalt--Saanich--Sooke,0.16,0.35,0.24,0.25,British Columba,NDP,16,35,24,25
102,35026,Essex,0.17,0.33,0.27,0.22,Ontario,NDP,17,33,27,22
103,35027,Etobicoke Centre,0.15,0.28,0.19,0.38,Ontario,Liberal,15,28,19,38
104,35029,Etobicoke North,0.25,0.33,0.19,0.22,Ontario,Liberal,25,33,19,22
105,35028,Etobicoke--Lakeshore,0.13,0.24,0.21,0.43,Ontario,Liberal,13,24,21,43
106,35030,Flamborough--Glanbrook,0.16,0.3,0.29,0.25,Ontario,Conservative,16,30,29,25
107,59012,Fleetwood--Port Kells,0.18,0.35,0.19,0.27,British Columba,Liberal,18,35,19,27
108,48022,Foothills,0.18,0.34,0.25,0.24,Alberta,Conservative,18,34,25,24
109,48023,Fort McMurray--Cold Lake,0.18,0.34,0.27,0.2,Alberta,Conservative,18,34,27,20
110,13003,Fredericton,0.14,0.32,0.21,0.33,New Brunswick/Nouveau-Brunswick,Liberal,14,32,21,33
111,13004,Fundy Royal,0.18,0.35,0.28,0.19,New Brunswick/Nouveau-Brunswick,Liberal,18,35,28,19
112,24026,GaspÃ©sie--Les ÃŽles-de-la-Madeleine,0.39,0.25,0.23,0.14,Quebec,Liberal,39,25,23,14
113,24027,Gatineau,0.26,0.3,0.23,0.21,Quebec,Liberal,26,30,23,21
114,35031,Glengarry--Prescott--Russell,0.2,0.35,0.28,0.17,Ontario,Liberal,20,35,28,17
115,48024,Grande Prairie--Mackenzie,0.27,0.36,0.23,0.14,Alberta,Conservative,27,36,23,14
116,35032,Guelph,0.16,0.3,0.21,0.33,Ontario,Liberal,16,30,21,33
117,35033,Haldimand--Norfolk,0.24,0.35,0.29,0.12,Ontario,Conservative,24,35,29,12
118,35034,Haliburton--Kawartha Lakes--Brock,0.22,0.35,0.3,0.13,Ontario,Conservative,22,35,30,13
119,12005,Halifax,0.11,0.26,0.16,0.47,Nova Scotia,Liberal,11,26,16,47
120,12006,Halifax West,0.13,0.26,0.22,0.39,Nova Scotia,Liberal,13,26,22,39
121,35035,Hamilton Centre,0.25,0.3,0.22,0.23,Ontario,NDP,25,30,22,23
122,35036,Hamilton East--Stoney Creek,0.25,0.34,0.25,0.16,Ontario,Liberal,25,34,25,16
123,35037,Hamilton Mountain,0.21,0.34,0.28,0.17,Ontario,NDP,21,34,28,17
124,35038,Hamilton West--Ancaster--Dundas,0.14,0.27,0.23,0.36,Ontario,Liberal,14,27,23,36
125,35039,Hastings--Lennox and Addington,0.22,0.34,0.31,0.13,Ontario,Liberal,22,34,31,13
126,24028,Hochelaga,0.2,0.23,0.22,0.35,Quebec,NDP,20,23,22,35
127,24029,HonorÃ©-Mercier,0.26,0.29,0.23,0.23,Quebec,Liberal,26,29,23,23
128,24030,Hull--Aylmer,0.19,0.24,0.21,0.37,Quebec,Liberal,19,24,21,37
129,35121,Humber River--Black Creek,0.32,0.33,0.18,0.17,Ontario,Liberal,32,33,18,17
130,35040,Huron--Bruce,0.24,0.31,0.3,0.16,Ontario,Conservative,24,31,30,16
131,24031,Joliette,0.32,0.31,0.21,0.16,Quebec,Bloc QuÃ©bÃ©cois,32,31,21,16
132,24032,JonquiÃ¨re,0.24,0.26,0.31,0.2,Quebec,NDP,24,26,31,20
133,59013,Kamloops--Thompson--Cariboo,0.19,0.39,0.22,0.2,British Columba,Conservative,19,39,22,20
134,35041,Kanata--Carleton,0.11,0.24,0.25,0.41,Ontario,Liberal,11,24,25,41
135,59014,Kelowna--Lake Country,0.16,0.36,0.26,0.22,British Columba,Liberal,16,36,26,22
136,35042,Kenora,0.37,0.28,0.22,0.13,Ontario,Liberal,37,28,22,13
137,46006,Kildonan--St. Paul,0.18,0.35,0.22,0.25,Manitoba,Liberal,18,35,22,25
138,12007,Kings--Hants,0.22,0.3,0.28,0.2,Nova Scotia,Liberal,22,30,28,20
139,35044,Kingston and the Islands,0.14,0.29,0.26,0.31,Ontario,Liberal,14,29,26,31
140,35043,King--Vaughan,0.17,0.28,0.2,0.35,Ontario,Liberal,17,28,20,35
141,35045,Kitchener Centre,0.2,0.31,0.23,0.26,Ontario,Liberal,20,31,23,26
142,35047,Kitchener South--Hespeler,0.18,0.32,0.27,0.23,Ontario,Liberal,18,32,27,23
143,35046,Kitchener--Conestoga,0.22,0.29,0.24,0.24,Ontario,Conservative,22,29,24,24
144,59015,Kootenay--Columbia,0.18,0.35,0.27,0.2,British Columba,NDP,18,35,27,20
145,24033,La Pointe-de-l'ÃŽle,0.27,0.3,0.21,0.22,Quebec,Bloc QuÃ©bÃ©cois,27,30,21,22
146,24034,La Prairie,0.21,0.28,0.24,0.27,Quebec,Liberal,21,28,24,27
147,10004,Labrador,0.3,0.26,0.31,0.13,Newfoundland and Labrador,Liberal,30,26,31,13
148,24035,Lac-Saint-Jean,0.32,0.26,0.26,0.16,Quebec,Conservative,32,26,26,16
149,24036,Lac-Saint-Louis,0.11,0.23,0.23,0.43,Quebec,Liberal,11,23,23,43
150,48025,Lakeland,0.27,0.34,0.25,0.14,Alberta,Conservative,27,34,25,14
151,35048,Lambton--Kent--Middlesex,0.22,0.32,0.3,0.15,Ontario,Conservative,22,32,30,15
152,35049,Lanark--Frontenac--Kingston,0.18,0.33,0.32,0.18,Ontario,Conservative,18,33,32,18
153,59016,Langley--Aldergrove,0.17,0.39,0.22,0.22,British Columba,Conservative,17,39,22,22
154,24037,LaSalle--Ã‰mard--Verdun,0.2,0.25,0.2,0.34,Quebec,Liberal,20,25,20,34
155,24038,Laurentides--Labelle,0.29,0.29,0.22,0.2,Quebec,Liberal,29,29,22,20
156,24039,Laurier--Sainte-Marie,0.1,0.17,0.18,0.56,Quebec,NDP,10,17,18,56
157,24040,Laval--Les ÃŽles,0.22,0.28,0.22,0.28,Quebec,Liberal,22,28,22,28
158,35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,0.19,0.33,0.31,0.16,Ontario,Conservative,19,33,31,16
159,48026,Lethbridge,0.19,0.35,0.24,0.22,Alberta,Conservative,19,35,24,22
160,24042,LÃ©vis--LotbiniÃ¨re,0.19,0.25,0.29,0.27,Quebec,Conservative,19,25,29,27
161,35052,London North Centre,0.14,0.28,0.22,0.35,Ontario,Liberal,14,28,22,35
162,35053,London West,0.13,0.27,0.26,0.34,Ontario,Liberal,13,27,26,34
163,35051,London--Fanshawe,0.23,0.35,0.28,0.14,Ontario,NDP,23,35,28,14
164,10005,Long Range Mountains,0.31,0.29,0.27,0.13,Newfoundland and Labrador,Liberal,31,29,27,13
165,24041,Longueuil--Charles-LeMoyne,0.27,0.29,0.21,0.23,Quebec,Liberal,27,29,21,23
166,24043,Longueuil--Saint-Hubert,0.22,0.26,0.23,0.29,Quebec,NDP,22,26,23,29
167,24044,Louis-HÃ©bert,0.09,0.18,0.25,0.48,Quebec,Liberal,9,18,25,48
168,24045,Louis-Saint-Laurent,0.16,0.26,0.28,0.29,Quebec,Conservative,16,26,28,29
169,13005,Madawaska--Restigouche,0.31,0.31,0.24,0.14,New Brunswick/Nouveau-Brunswick,Liberal,31,31,24,14
170,11004,Malpeque,0.18,0.3,0.3,0.22,Prince Edward Island,Liberal,18,30,30,22
171,24046,Manicouagan,0.37,0.26,0.23,0.14,Quebec,Bloc QuÃ©bÃ©cois,37,26,23,14
172,24065,Marc-AurÃ¨le-Fortin,0.19,0.27,0.26,0.28,Quebec,Liberal,19,27,26,28
173,35054,Markham--Stouffville,0.15,0.28,0.2,0.38,Ontario,Liberal,15,28,20,38
174,35055,Markham--Thornhill,0.21,0.31,0.15,0.33,Ontario,Liberal,21,31,15,33
175,35056,Markham--Unionville,0.15,0.26,0.16,0.44,Ontario,Conservative,15,26,16,44
176,48027,Medicine Hat--Cardston--Warner,0.25,0.36,0.26,0.14,Alberta,Conservative,25,36,26,14
177,24047,MÃ©gantic--L'Ã‰rable,0.37,0.29,0.23,0.12,Quebec,Conservative,37,29,23,12
178,35057,Milton,0.12,0.26,0.24,0.39,Ontario,Conservative,12,26,24,39
179,24048,Mirabel,0.27,0.3,0.26,0.17,Quebec,Bloc QuÃ©bÃ©cois,27,30,26,17
180,13006,Miramichi--Grand Lake,0.31,0.34,0.24,0.11,New Brunswick/Nouveau-Brunswick,Liberal,31,34,24,11
181,59017,Mission--Matsqui--Fraser Canyon,0.25,0.4,0.2,0.15,British Columba,Liberal,25,40,20,15
182,35058,Mississauga Centre,0.13,0.27,0.18,0.42,Ontario,Liberal,13,27,18,42
183,35059,Mississauga East--Cooksville,0.19,0.3,0.21,0.31,Ontario,Liberal,19,30,21,31
184,35060,Mississauga--Erin Mills,0.12,0.25,0.19,0.44,Ontario,Liberal,12,25,19,44
185,35061,Mississauga--Lakeshore,0.15,0.28,0.21,0.36,Ontario,Liberal,15,28,21,36
186,35062,Mississauga--Malton,0.19,0.29,0.18,0.34,Ontario,Liberal,19,29,18,34
187,35063,Mississauga--Streetsville,0.13,0.28,0.21,0.38,Ontario,Liberal,13,28,21,38
188,13007,Moncton--Riverview--Dieppe,0.17,0.31,0.27,0.25,New Brunswick/Nouveau-Brunswick,Liberal,17,31,27,25
189,24049,Montarville,0.15,0.25,0.26,0.34,Quebec,Liberal,15,25,26,34
190,24050,Montcalm,0.34,0.3,0.23,0.13,Quebec,Bloc QuÃ©bÃ©cois,34,30,23,13
191,24051,Montmagny--L'Islet--Kamouraska--RiviÃ¨re-du-Loup,0.33,0.27,0.24,0.16,Quebec,Conservative,33,27,24,16
192,24052,Mont-Royal,0.13,0.22,0.18,0.47,Quebec,Liberal,13,22,18,47
193,47005,Moose Jaw--Lake Centre--Lanigan,0.21,0.39,0.23,0.17,Saskatchewan,Conservative,21,39,23,17
194,59018,Nanaimo--Ladysmith,0.17,0.36,0.23,0.23,British Columba,NDP,17,36,23,23
195,35064,Nepean,0.12,0.24,0.24,0.4,Ontario,Liberal,12,24,24,40
196,13008,New Brunswick Southwest,0.2,0.35,0.27,0.17,New Brunswick/Nouveau-Brunswick,Liberal,20,35,27,17
197,59019,New Westminster--Burnaby,0.13,0.31,0.21,0.35,British Columba,NDP,13,31,21,35
198,35065,Newmarket--Aurora,0.15,0.29,0.24,0.33,Ontario,Liberal,15,29,24,33
199,35066,Niagara Centre,0.21,0.36,0.27,0.16,Ontario,Liberal,21,36,27,16
200,35067,Niagara Falls,0.19,0.36,0.26,0.19,Ontario,Conservative,19,36,26,19
201,35068,Niagara West,0.16,0.32,0.29,0.23,Ontario,Conservative,16,32,29,23
202,35069,Nickel Belt,0.22,0.3,0.34,0.14,Ontario,Liberal,22,30,34,14
203,35070,Nipissing--Timiskaming,0.21,0.29,0.32,0.18,Ontario,Liberal,21,29,32,18
204,59037,North Island--Powell River,0.21,0.36,0.25,0.18,British Columba,NDP,21,36,25,18
205,59020,North Okanagan--Shuswap,0.21,0.37,0.26,0.16,British Columba,Conservative,21,37,26,16
206,59021,North Vancouver,0.1,0.27,0.2,0.44,British Columba,Liberal,10,27,20,44
207,35071,Northumberland--Peterborough South,0.19,0.34,0.3,0.17,Ontario,Liberal,19,34,30,17
208,61001,Notre-Dame-de-GrÃ¢ce--Westmount,0.09,0.18,0.18,0.55,Northwest Territories,Liberal,9,18,18,55
209,24053,Nova Scotia,0.21,0.29,0.25,0.25,Quebec,Liberal,21,29,25,25
210,62001,Oakville North--Burlington,0.11,0.23,0.2,0.46,Nunavut,Liberal,11,23,20,46
211,35072,Ontario,0.18,0.3,0.23,0.3,Ontario,Liberal,18,30,23,30
212,35073,OrlÃ©ans,0.11,0.27,0.26,0.36,Ontario,Liberal,11,27,26,36
213,35076,Ottawa Centre,0.09,0.19,0.14,0.58,Ontario,Liberal,9,19,14,58
214,35074,Ottawa South,0.15,0.27,0.19,0.39,Ontario,Conservative,15,27,19,39
215,35075,Ottawa West--Nepean,0.14,0.27,0.21,0.38,Ontario,Liberal,14,27,21,38
216,35077,Ottawa--Vanier,0.16,0.27,0.19,0.39,Ontario,Liberal,16,27,19,39
217,35079,Outremont,0.1,0.18,0.16,0.56,Ontario,Liberal,10,18,16,56
218,35078,Oxford,0.24,0.35,0.28,0.13,Ontario,Liberal,24,35,28,13
219,24054,Papineau,0.23,0.22,0.18,0.37,Quebec,NDP,23,22,18,37
220,35080,Parkdale--High Park,0.11,0.2,0.17,0.52,Ontario,Conservative,11,20,17,52
221,24055,Parry Sound--Muskoka,0.21,0.35,0.27,0.17,Quebec,Liberal,21,35,27,17
222,35081,Peace River--Westlock,0.37,0.33,0.19,0.11,Ontario,Liberal,37,33,19,11
223,35082,Perth--Wellington,0.28,0.34,0.24,0.14,Ontario,Conservative,28,34,24,14
224,48028,Peterborough--Kawartha,0.18,0.32,0.29,0.21,Alberta,Conservative,18,32,29,21
225,35083,Pickering--Uxbridge,0.14,0.31,0.26,0.28,Ontario,Conservative,14,31,26,28
226,35084,Pierre-Boucher--Les Patriotes--VerchÃ¨res,0.18,0.25,0.26,0.31,Ontario,Liberal,18,25,26,31
227,35085,Pierrefonds--Dollard,0.15,0.27,0.23,0.34,Ontario,Liberal,15,27,23,34
228,24014,Pitt Meadows--Maple Ridge,0.17,0.39,0.26,0.19,Quebec,Bloc QuÃ©bÃ©cois,17,39,26,19
229,24056,Pontiac,0.23,0.25,0.23,0.29,Quebec,Liberal,23,25,23,29
230,59022,Port Moody--Coquitlam,0.13,0.32,0.21,0.34,British Columba,Liberal,13,32,21,34
231,24057,Portage--Lisgar,0.33,0.34,0.19,0.14,Quebec,Liberal,33,34,19,14
232,59023,Portneuf--Jacques-Cartier,0.19,0.27,0.28,0.26,British Columba,NDP,19,27,28,26
233,46007,Prince Albert,0.27,0.35,0.22,0.16,Manitoba,Conservative,27,35,22,16
234,24058,Prince Edward Island,0.2,0.31,0.27,0.23,Quebec,Conservative,20,31,27,23
235,47006,Prince George--Peace River--Northern Rockies,0.27,0.38,0.22,0.14,Saskatchewan,Conservative,27,38,22,14
236,59024,Quebec,0.24,0.26,0.23,0.27,British Columba,Conservative,24,26,23,27
237,46008,QuÃ©bec,0.16,0.21,0.22,0.41,Manitoba,Conservative,16,21,22,41
238,24059,Red Deer--Mountain View,0.2,0.36,0.27,0.18,Quebec,Liberal,20,36,27,18
239,48030,Regina--Lewvan,0.13,0.36,0.19,0.32,Alberta,Conservative,13,36,19,32
240,48029,Regina--Qu'Appelle,0.25,0.39,0.19,0.17,Alberta,Conservative,25,39,19,17
241,47007,Regina--Wascana,0.15,0.35,0.16,0.34,Saskatchewan,NDP,15,35,16,34
242,47008,Renfrew--Nipissing--Pembroke,0.2,0.35,0.29,0.16,Saskatchewan,Conservative,20,35,29,16
243,47009,Repentigny,0.23,0.32,0.25,0.2,Saskatchewan,Liberal,23,32,25,20
244,35086,Richmond Centre,0.13,0.32,0.16,0.39,Ontario,Conservative,13,32,16,39
245,24060,Richmond Hill,0.13,0.25,0.17,0.45,Quebec,Bloc QuÃ©bÃ©cois,13,25,17,45
246,59025,Richmond--Arthabaska,0.34,0.27,0.23,0.16,British Columba,Conservative,34,27,23,16
247,35087,Rimouski-Neigette--TÃ©miscouata--Les Basques,0.26,0.26,0.26,0.22,Ontario,Liberal,26,26,26,22
248,24061,RiviÃ¨re-des-Mille-ÃŽles,0.23,0.3,0.25,0.22,Quebec,Conservative,23,30,25,22
249,24018,RiviÃ¨re-du-Nord,0.3,0.31,0.24,0.15,Quebec,NDP,30,31,24,15
250,24062,Rosemont--La Petite-Patrie,0.14,0.18,0.21,0.48,Quebec,Liberal,14,18,21,48
251,24063,Saanich--Gulf Islands,0.12,0.32,0.21,0.35,Quebec,Bloc QuÃ©bÃ©cois,12,32,21,35
252,24064,Sackville--Preston--Chezzetcook,0.18,0.32,0.29,0.21,Quebec,NDP,18,32,29,21
253,59027,Saint Boniface--Saint Vital,0.16,0.32,0.21,0.32,British Columba,Green Party,16,32,21,32
254,12008,Saint John--Rothesay,0.18,0.35,0.25,0.22,Nova Scotia,Liberal,18,35,25,22
255,46009,Saint-Hyacinthe--Bagot,0.34,0.31,0.22,0.14,Manitoba,Liberal,34,31,22,14
256,13009,Saint-Jean,0.27,0.31,0.24,0.18,New Brunswick/Nouveau-Brunswick,Liberal,27,31,24,18
257,24066,Saint-Laurent,0.17,0.23,0.19,0.42,Quebec,NDP,17,23,19,42
258,24067,Saint-LÃ©onard--Saint-Michel,0.32,0.28,0.19,0.21,Quebec,Liberal,32,28,19,21
259,24068,Saint-Maurice--Champlain,0.31,0.29,0.25,0.15,Quebec,Liberal,31,29,25,15
260,24069,Salaberry--SuroÃ®t,0.33,0.32,0.22,0.13,Quebec,Liberal,33,32,22,13
261,24070,Sarnia--Lambton,0.17,0.33,0.33,0.17,Quebec,Liberal,17,33,33,17
262,24071,Saskatchewan,0.22,0.36,0.2,0.22,Quebec,NDP,22,36,20,22
