Prov/Terr,FED ID,Federal Electoral Districts_x,Total_x,Total Income_x,Total_y,Total Income_y,Province,Federal Electoral Districts_y,Population,Electors,Polling Stations,Valid Ballots,Percentage of Valid Ballots,Rejected Ballots,Percentage of Rejected Ballots,Total Ballots Cast,Percentage of Voter Turnout,Party Won
24,24032.0,Jonquière,36660,1852569000.0,36650,1157252000,Quebec,Jonquière,87596,73099,219,48103,98.2,899,1.8,49002,67.0,NDP
24,24033.0,La Pointe-de-l'Île,40650,1766029000.0,45010,1495416000,Quebec,La Pointe-de-l'Île,103512,84769,236,55226,98.4,912,1.6,56138,66.2,Bloc Québécois
24,24034.0,La Prairie,42200,2512612000.0,44350,1787597000,Quebec,La Prairie,99811,82472,212,57572,98.3,996,1.7,58568,71.0,Liberal
24,24035.0,Lac-Saint-Jean,43650,1970327000.0,43130,1235911000,Quebec,Lac-Saint-Jean,105783,85445,260,55279,98.4,925,1.6,56204,65.8,Conservative
24,24036.0,Lac-Saint-Louis,40460,3064029000.0,45140,2089262000,Quebec,Lac-Saint-Louis,108795,85870,232,62312,99.5,321,0.5,62633,72.9,Liberal
24,24037.0,LaSalle--Émard--Verdun,40920,1675429000.0,45540,1494976000,Quebec,LaSalle--Émard--Verdun,105317,84192,225,53763,98.5,823,1.5,54586,64.8,Liberal
24,24038.0,Laurentides--Labelle,47920,2135546000.0,49690,1655379000,Quebec,Laurentides--Labelle,111357,96848,302,63173,98.4,1030,1.6,64203,66.3,Liberal
24,24039.0,Laurier--Sainte-Marie,49940,2355967000.0,42930,1604110000,Quebec,Laurier--Sainte-Marie,107034,85056,228,54681,98.9,594,1.1,55275,65.0,NDP
24,24040.0,Laval--Les Îles,40710,2088378000.0,43340,1580143000,Quebec,Laval--Les Îles,103053,82438,216,54205,98.8,683,1.2,54888,66.6,Liberal
24,24041.0,Longueuil--Charles-LeMoyne,41240,1656229000.0,43860,1339531000,Quebec,Longueuil--Charles-LeMoyne,104895,83844,222,51707,98.2,925,1.8,52632,62.8,Liberal
24,24042.0,Lévis--Lotbinière,45630,2490577000.0,45360,1760836000,Quebec,Lévis--Lotbinière,107593,87339,251,62588,98.5,975,1.5,63563,72.8,Conservative
