,FED ID,Federal Electoral Districts_x,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,ï»¿Province,Party Won
284,59030,St. Albert--Edmonton,16.00%,33.00%,25.00%,26.00%,British Columba,Conservative
285,35101,St. Catharines,18.00%,35.00%,26.00%,21.00%,Ontario,Liberal
286,48031,St. John's East,13.00%,26.00%,25.00%,36.00%,Alberta,Conservative
287,35089,St. John's South--Mount Pearl,17.00%,30.00%,29.00%,24.00%,Ontario,Liberal
288,10006,Steveston--Richmond East,14.00%,33.00%,17.00%,37.00%,Newfoundland and Labrador,Liberal
289,10007,Stormont--Dundas--South Glengarry,23.00%,35.00%,29.00%,13.00%,Newfoundland and Labrador,Liberal
290,59031,Sturgeon River--Parkland,21.00%,38.00%,27.00%,15.00%,British Columba,Liberal
291,35102,Sudbury,20.00%,28.00%,30.00%,23.00%,Ontario,Conservative
292,48033,Surrey Centre,24.00%,38.00%,18.00%,20.00%,Alberta,Conservative
293,35103,Surrey--Newton,24.00%,39.00%,15.00%,22.00%,Ontario,Liberal
294,59032,Sydney--Victoria,26.00%,32.00%,24.00%,18.00%,British Columba,Liberal
295,59033,Terrebonne,25.00%,31.00%,24.00%,19.00%,British Columba,Liberal
296,12010,ThÃ©rÃ¨se-De Blainville,21.00%,27.00%,25.00%,27.00%,Nova Scotia,Liberal
297,24075,Thornhill,11.00%,24.00%,18.00%,47.00%,Quebec,Bloc QuÃ©bÃ©cois
298,24013,Thunder Bay--Rainy River,23.00%,32.00%,28.00%,17.00%,Quebec,Liberal
299,35104,Thunder Bay--Superior North,22.00%,28.00%,27.00%,23.00%,Ontario,Conservative
300,35105,Timmins--James Bay,30.00%,29.00%,30.00%,11.00%,Ontario,Liberal
301,35106,Tobique--Mactaquac,23.00%,36.00%,24.00%,16.00%,Ontario,Liberal
302,35107,Toronto Centre,8.00%,21.00%,15.00%,55.00%,Ontario,NDP
303,13010,Toronto--Danforth,15.00%,22.00%,17.00%,45.00%,New Brunswick/Nouveau-Brunswick,Liberal
304,35108,Toronto--St. Paul's,9.00%,19.00%,15.00%,58.00%,Ontario,Liberal
305,35109,Trois-RiviÃ¨res,23.00%,27.00%,26.00%,25.00%,Ontario,Liberal
306,35090,University--Rosedale,8.00%,20.00%,10.00%,62.00%,Ontario,Liberal
307,24076,Vancouver Centre,4.00%,19.00%,18.00%,58.00%,Quebec,NDP
308,35110,Vancouver East,16.00%,27.00%,18.00%,39.00%,Ontario,Liberal
309,59034,Vancouver Granville,8.00%,23.00%,16.00%,54.00%,British Columba,Liberal
310,59035,Vancouver Kingsway,20.00%,31.00%,16.00%,32.00%,British Columba,NDP
311,59036,Vancouver Quadra,8.00%,23.00%,12.00%,58.00%,British Columba,Liberal
312,59038,Vancouver South,20.00%,33.00%,16.00%,31.00%,British Columba,NDP
313,59039,Vaudreuil--Soulanges,17.00%,30.00%,26.00%,27.00%,British Columba,Liberal
314,59040,Vaughan--Woodbridge,23.00%,29.00%,20.00%,28.00%,British Columba,Liberal
315,24074,Victoria,10.00%,28.00%,19.00%,44.00%,Quebec,Liberal
316,35111,Ville-Marie--Le Sud-Ouest--ÃŽle-des-Soeurs,8.00%,19.00%,15.00%,58.00%,Ontario,Liberal
317,59041,Vimy,24.00%,27.00%,22.00%,27.00%,British Columba,NDP
318,24077,Waterloo,12.00%,28.00%,18.00%,42.00%,Quebec,Liberal
319,24078,Wellington--Halton Hills,17.00%,32.00%,26.00%,24.00%,Quebec,Liberal
320,35112,West Nova,30.00%,28.00%,28.00%,14.00%,Ontario,Liberal
321,35113,West Vancouver--Sunshine Coast--Sea to Sky Country,12.00%,30.00%,19.00%,39.00%,Ontario,Conservative
322,12011,Whitby,14.00%,30.00%,28.00%,28.00%,Nova Scotia,Liberal
323,59042,Willowdale,8.00%,22.00%,14.00%,56.00%,British Columba,Liberal
324,35114,Windsor West,19.00%,33.00%,21.00%,27.00%,Ontario,Liberal
325,35115,Windsor--Tecumseh,18.00%,35.00%,26.00%,21.00%,Ontario,Liberal
326,35117,Winnipeg Centre,23.00%,31.00%,18.00%,28.00%,Ontario,NDP
327,35116,Winnipeg North,25.00%,33.00%,19.00%,23.00%,Ontario,NDP
328,46011,Winnipeg South,12.00%,31.00%,18.00%,39.00%,Manitoba,Liberal
329,46012,Winnipeg South Centre,11.00%,28.00%,16.00%,45.00%,Manitoba,Liberal
330,46013,Yellowhead,29.00%,37.00%,22.00%,12.00%,Manitoba,Liberal
331,46014,York Centre,18.00%,28.00%,19.00%,34.00%,Manitoba,Liberal
332,48034,York South--Weston,30.00%,33.00%,20.00%,17.00%,Alberta,Conservative
333,35118,York--Simcoe,20.00%,35.00%,27.00%,18.00%,Ontario,Liberal
334,35120,Yorkton--Melville,28.00%,38.00%,21.00%,13.00%,Ontario,Liberal
335,35119,Yukon,18.00%,27.00%,25.00%,30.00%,Ontario,Conservative
336,47014,Grand Total,19.00%,30.00%,23.00%,28.00%,Saskatchewan,Conservative
