Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over",
24,24039,Laurier--Sainte-Marie,42930,1604110000 ,5160 ,3740 ,4220 ,4800 ,3030 ,2390 ,2210 ,2210 ,2100 ,1890 ,1670 ,1390 ,2210 ,1790 ,1160 ,720 ,1560 ,500 ,190 ,
24,24040,Laval--Les Îles,43340,1580143000 ,5040 ,3180 ,4520 ,4870 ,3570 ,2660 ,2420 ,2490 ,2210 ,2090 ,1620 ,1320 ,2010 ,1780 ,1060 ,640 ,1240 ,460 ,180 ,
24,24041,Longueuil--Charles-LeMoyne,43860,1339531000 ,4240 ,3620 ,4860 ,5560 ,4320 ,3250 ,3080 ,2900 ,2580 ,2030 ,1560 ,1230 ,1640 ,1160 ,670 ,390 ,560 ,140 ,50 ,
24,24042,Lévis--Lotbinière,45360,1760836000 ,2650 ,2590 ,3920 ,4420 ,3770 ,3170 ,3210 ,3370 ,3280 ,2920 ,2270 ,1760 ,2670 ,2070 ,1180 ,650 ,1050 ,320 ,90 ,
24,24043,Longueuil--Saint-Hubert,46260,1725405000 ,3800 ,3270 ,4330 ,5260 ,4170 ,3060 ,2970 ,3010 ,2680 ,2460 ,1900 ,1550 ,2340 ,1800 ,1100 ,710 ,1260 ,430 ,160 ,
24,24044,Louis-Hébert,45170,2145032000 ,3290 ,2500 ,3030 ,3860 ,3250 ,2600 ,2640 ,2990 ,2760 ,2890 ,2230 ,1830 ,2820 ,2480 ,1530 ,1020 ,2120 ,900 ,450 ,
24,24045,Louis-Saint-Laurent,48950,1926688000 ,2830 ,2520 ,3850 ,4550 ,4050 ,3590 ,3520 ,3650 ,3560 ,3440 ,2520 ,1990 ,3010 ,2320 ,1260 ,730 ,1180 ,300 ,110 ,
24,24046,Manicouagan,36750,1151753000 ,4990 ,2740 ,3740 ,4480 ,3350 ,2540 ,2210 ,2220 ,1870 ,1740 ,1220 ,940 ,1320 ,1100 ,850 ,520 ,720 ,160 ,50 ,
24,24047,Mégantic--L'Érable,36280,1043015000 ,2420 ,2910 ,4930 ,5720 ,4250 ,3040 ,2620 ,2330 ,1950 ,1490 ,1050 ,780 ,1020 ,760 ,350 ,210 ,310 ,110 ,50 ,
24,24048,Mirabel,46050,1602108000 ,3930 ,3070 ,4300 ,4940 ,4160 ,3370 ,3320 ,3200 ,2960 ,2370 ,2000 ,1590 ,2330 ,1890 ,1040 ,530 ,810 ,200 ,60 ,
24,24049,Montarville,40430,1830097000 ,2730 ,2210 ,2880 ,3330 ,2990 ,2530 ,2470 ,2580 ,2430 ,2490 ,1970 ,1570 ,2740 ,2440 ,1530 ,960 ,1830 ,540 ,210 ,
24,24050,Montcalm,42880,1353694000 ,3910 ,3430 ,4660 ,5280 ,4150 ,3260 ,2970 ,2880 ,2610 ,2020 ,1490 ,1180 ,1800 ,1270 ,820 ,390 ,570 ,150 ,50 ,
24,24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,40720,1218851000 ,2850 ,3020 ,4940 ,6360 ,4240 ,3360 ,3010 ,2790 ,2470 ,1830 ,1310 ,890 ,1290 ,1070 ,490 ,250 ,370 ,130 ,60 ,
24,24052,Mount Royal,45050,2004565000 ,6720 ,3580 ,4290 ,5020 ,4090 ,2720 ,2170 ,1970 ,1750 ,1560 ,1230 ,1100 ,1690 ,1490 ,1060 ,770 ,1870 ,1170 ,780 ,
24,24053,Notre-Dame-de-Grâce--Westmount,44320,2384998000 ,6520 ,3260 ,3580 ,4090 ,2910 ,2260 ,2080 ,1940 ,1810 ,1720 ,1450 ,1200 ,2090 ,1930 ,1300 ,1050 ,2500 ,1520 ,1100 ,
24,24054,Outremont,34910,1512533000 ,5690 ,2840 ,3220 ,3580 ,2430 ,1850 ,1580 ,1510 ,1360 ,1300 ,1120 ,990 ,1570 ,1360 ,910 ,640 ,1590 ,840 ,540 ,
24,24055,Papineau,43470,1259167000 ,5950 ,4370 ,5320 ,6000 ,3870 ,2630 ,2290 ,2110 ,1870 ,1640 ,1300 ,1150 ,1660 ,1220 ,730 ,440 ,680 ,190 ,60 ,
24,24056,Pierrefonds--Dollard,45140,1675672000 ,5680 ,3290 ,4170 ,4610 ,3710 ,2950 ,2660 ,2630 ,2300 ,2110 ,1640 ,1400 ,2180 ,1760 ,1110 ,760 ,1470 ,510 ,210 ,
24,24057,Pontiac,44730,1889757000 ,3800 ,3220 ,3960 ,4080 ,2940 ,2380 ,2280 ,2330 ,2200 ,2280 ,1900 ,1910 ,3140 ,2580 ,1910 ,1270 ,2010 ,450 ,100 ,
24,24058,Portneuf--Jacques-Cartier,45690,1785329000 ,2950 ,2700 ,4050 ,4790 ,3770 ,3230 ,3140 ,3190 ,3000 ,2710 ,2130 ,1650 ,2570 ,2070 ,1220 ,790 ,1180 ,380 ,160 ,
24,24059,Québec,41110,1532659000 ,2420 ,2640 ,3820 ,5290 ,3810 ,2970 ,2760 ,2730 ,2590 ,2370 ,1730 ,1450 ,2070 ,1590 ,890 ,540 ,980 ,340 ,130 ,
24,24060,Repentigny,48860,1807025000 ,3580 ,3090 ,4330 ,5040 ,4550 ,3410 ,3360 ,3370 ,3120 ,2850 ,2310 ,1800 ,2540 ,1980 ,1360 ,700 ,1080 ,320 ,90 ,
24,24061,Richmond--Arthabaska,44170,1338560000 ,3100 ,3450 ,5650 ,6490 ,4840 ,3540 ,3070 ,2950 ,2540 ,1970 ,1380 ,1010 ,1480 ,1100 ,550 ,300 ,490 ,180 ,80 ,
24,24062,Rivière-des-Mille-Îles,42710,1592448000 ,3420 ,2820 ,3950 ,4670 ,3890 ,3020 ,2790 ,2760 ,2550 ,2330 ,1720 ,1480 ,2250 ,1850 ,1060 ,650 ,1040 ,340 ,140 ,
24,24063,Rivière-du-Nord,46950,1495458000 ,3630 ,3670 ,5280 ,6280 ,4860 ,3610 ,3280 ,3080 ,2600 ,2260 ,1740 ,1220 ,1810 ,1540 ,790 ,400 ,650 ,180 ,80 ,
24,24064,Rosemont--La Petite-Patrie,45070,1693576000 ,3790 ,3250 ,4130 ,5530 ,3670 ,2820 ,2620 ,2640 ,2440 ,2260 ,1880 ,1600 ,2550 ,2050 ,1230 ,790 ,1350 ,360 ,120 ,
24,24065,Marc-Aurèle-Fortin,41360,1635205000 ,3820 ,2600 ,3510 ,3720 ,3370 ,2580 ,2420 ,2530 ,2540 ,2360 ,1900 ,1560 ,2470 ,2090 ,1290 ,750 ,1400 ,390 ,100 ,
24,24066,Saint-Hyacinthe--Bagot,42600,1341747000 ,3110 ,3260 ,4770 ,5760 ,4320 ,3480 ,3210 ,3020 ,2690 ,2110 ,1480 ,1060 ,1530 ,1100 ,620 ,350 ,490 ,180 ,80 ,
24,24067,Saint-Jean,45830,1575850000 ,3230 ,3270 ,4780 ,5560 ,4570 ,3510 ,3250 ,3130 ,2610 ,2390 ,1810 ,1390 ,2050 ,1560 ,1060 ,510 ,820 ,230 ,100 ,
24,24068,Saint-Laurent,40210,1367911000 ,7310 ,3590 ,4150 ,4570 ,3170 ,2300 ,1900 ,1820 ,1570 ,1440 ,1150 ,980 ,1540 ,1200 ,880 ,580 ,1300 ,510 ,250 ,
24,24069,Saint-Léonard--Saint-Michel,45730,1193836000 ,6970 ,4650 ,5660 ,6220 ,4770 ,3350 ,2650 ,2390 ,1970 ,1520 ,1110 ,870 ,1180 ,850 ,490 ,320 ,530 ,190 ,60 ,
24,24070,Saint-Maurice--Champlain,45430,1313805000 ,3690 ,3790 ,5560 ,7220 ,4990 ,3490 ,2920 ,2820 ,2420 ,2190 ,1410 ,1070 ,1370 ,1140 ,500 ,280 ,380 ,140 ,60 ,
24,24071,Salaberry--Suroît,47590,1472465000 ,4240 ,3900 ,5350 ,6340 ,4990 ,3680 ,3300 ,3050 ,2680 ,2230 ,1550 ,1190 ,1720 ,1380 ,740 ,410 ,570 ,190 ,80 ,
24,24072,Shefford,45980,1481040000 ,3250 ,3490 ,5260 ,6140 ,4900 ,3640 ,3360 ,3160 ,2660 ,2190 ,1660 ,1130 ,1700 ,1340 ,720 ,400 ,670 ,230 ,100 ,
24,24073,Sherbrooke,46980,1526959000 ,4000 ,3730 ,5280 ,6620 ,4590 ,3350 ,2900 ,2940 ,2680 ,2260 ,1620 ,1340 ,1820 ,1510 ,760 ,440 ,770 ,250 ,130 ,
24,24074,Vaudreuil--Soulanges,47710,1949504000 ,4300 ,2800 ,3810 ,4310 ,3870 ,3190 ,3000 ,3040 ,3040 ,2660 ,2150 ,1760 ,2780 ,2430 ,1400 ,900 ,1560 ,540 ,210 ,
24,24075,Terrebonne,44630,1635643000 ,3680 ,2920 ,4180 ,4660 ,3740 ,3110 ,3000 ,3040 ,2900 ,2420 ,1900 ,1540 ,2340 ,1930 ,1250 ,700 ,980 ,280 ,90 ,
24,24076,Trois-Rivières,48530,1551904000 ,3370 ,3780 ,5710 ,7430 ,5110 ,3550 ,3120 ,2940 ,2670 ,2430 ,1700 ,1230 ,1710 ,1390 ,820 ,460 ,770 ,250 ,100 ,
24,24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,51620,2231924000 ,8620 ,4170 ,6330 ,6270 ,2950 ,2120 ,1900 ,1850 ,1800 ,1730 ,1490 ,1290 ,2310 ,1880 ,1320 ,1050 ,2440 ,1330 ,780 ,
