,Prov/Terr,FED ID,Federal Electoral Districts_x,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,ï»¿Province,Party Won
225,35,35116.0,Windsor--Tecumseh,92520,4117035000.0,3510,6980,6930,6730,6500,7020,7360,8090,8460,7950,7310,5640,10050,Ontario,NDP
226,35,35117.0,Windsor West,96530,3599291000.0,3970,10120,8670,7120,6790,7470,8270,9030,8170,6920,6000,4470,9530,Ontario,NDP
227,35,35118.0,York Centre,85790,3553369000.0,2960,6870,7020,7470,7830,7330,7550,7830,7250,5800,5010,3530,9340,Ontario,Liberal
228,35,35119.0,York--Simcoe,81930,3904321000.0,3510,6440,6750,7190,6820,6740,7160,8470,7970,6200,5020,3620,6060,Ontario,Conservative
229,35,35120.0,York South--Weston,91260,3025039000.0,3040,7440,8020,8140,7880,7420,7930,9030,8240,6610,5130,3800,8590,Ontario,Liberal
230,35,35121.0,Humber River--Black Creek,86940,2416132000.0,3470,8950,8580,8060,7300,6790,7500,8010,7010,5460,4450,3520,7850,Ontario,Liberal
231,46,46001.0,Brandon--Souris,68540,2957304000.0,2910,5920,6400,6240,5720,5300,4770,5160,5590,5160,4580,3430,7360,Manitoba,Conservative
232,46,46002.0,Charleswood--St. James--Assiniboia--Headingley,65430,3398231000.0,2330,4870,4900,4980,4700,4780,4890,5670,5870,5420,4820,3970,8240,Manitoba,Liberal
233,46,46003.0,Churchill--Keewatinook Aski,56120,1426778000.0,2580,6940,6790,5790,5090,4970,5030,4800,4430,3400,2500,1690,2090,Manitoba,NDP
234,46,46004.0,Dauphin--Swan River--Neepawa,65930,2449575000.0,2860,4920,4830,4770,4680,4550,4560,5250,6000,5930,5150,4090,8350,Manitoba,Conservative
235,46,46005.0,Elmwood--Transcona,71790,2883052000.0,2720,5910,6810,7290,6840,6160,5600,6120,6060,5080,4260,2900,6040,Manitoba,NDP
236,46,46006.0,Kildonan--St. Paul,67890,3221055000.0,2690,5290,5060,4980,5130,5140,5180,5900,6220,5800,4890,3590,8030,Manitoba,Liberal
237,46,46007.0,Portage--Lisgar,69620,2816816000.0,3980,6460,6160,6000,5540,5390,5370,5780,5960,5080,4160,3220,6520,Manitoba,Conservative
238,46,46008.0,Provencher,76390,3269232000.0,4210,6820,6570,6840,6880,6340,6050,6750,6540,5680,4640,3420,5670,Manitoba,Conservative
239,46,46009.0,Saint Boniface--Saint Vital,71200,3497956000.0,2550,5620,6150,6150,5920,5790,5580,5910,5810,5370,4770,3770,7790,Manitoba,Liberal
240,46,46010.0,Selkirk--Interlake--Eastman,75550,3233295000.0,3150,5580,5020,4890,4600,5030,5610,7190,7660,7320,6390,4950,8160,Manitoba,Conservative
241,46,46011.0,Winnipeg Centre,69120,2200645000.0,2170,6360,7930,7710,6730,5640,5310,5790,5440,4550,3910,2610,4980,Manitoba,Liberal
242,46,46012.0,Winnipeg North,73320,2327103000.0,3300,7320,7160,7270,7140,6270,6160,6260,5940,5140,4270,2850,4260,Manitoba,Liberal
243,46,46013.0,Winnipeg South,80620,3824118000.0,4310,9850,7660,6830,6550,6550,6630,6770,6360,5670,4670,3340,5440,Manitoba,Liberal
244,46,46014.0,Winnipeg South Centre,73670,4441830000.0,2460,6130,7420,6910,5730,5270,5300,5570,5820,5530,4980,3770,8780,Manitoba,Liberal
245,47,47001.0,Battlefords--Lloydminster,55270,2392745000.0,2490,4860,5270,5380,4970,4140,3760,4490,4780,4330,3430,2470,4910,Saskatchewan,Conservative
246,47,47002.0,Cypress Hills--Grasslands,54780,2611154000.0,2750,4140,4180,4080,3880,3470,3460,4690,5450,5070,3960,2950,6720,Saskatchewan,Conservative
247,47,47003.0,Desnethé--Missinippi--Churchill River,48390,1361489000.0,2370,5640,5410,4570,4000,3870,3930,4080,3870,3350,2740,1790,2770,Saskatchewan,NDP
248,47,47004.0,Carlton Trail--Eagle Creek,58710,2819331000.0,2720,4360,5070,5680,5270,4860,4330,4880,5110,4760,3670,2710,5300,Saskatchewan,Conservative
249,47,47005.0,Moose Jaw--Lake Centre--Lanigan,60630,3027663000.0,2450,4380,4700,4830,4770,4390,4020,5030,5810,5810,4660,3220,6560,Saskatchewan,Conservative
250,47,47006.0,Prince Albert,64010,2720633000.0,2920,5450,5600,5240,4790,4520,4540,5230,5600,5140,4440,3410,7140,Saskatchewan,Conservative
251,47,47007.0,Regina--Lewvan,72160,4032015000.0,2770,5800,7660,8110,7220,6010,5330,5910,6050,5260,3900,2730,5420,Saskatchewan,NDP
252,47,47008.0,Regina--Qu'Appelle,56670,2456465000.0,2270,4670,5400,5550,5150,4590,4450,4720,4700,4280,3400,2530,4940,Saskatchewan,Conservative
253,47,47009.0,Regina--Wascana,67040,3687808000.0,2560,5850,6870,6560,5670,5130,4800,5400,5510,4790,3960,2900,7050,Saskatchewan,Liberal
254,47,47010.0,Saskatoon--Grasswood,67120,3782915000.0,2350,5720,7190,6880,5790,4900,4610,5320,5310,4850,3760,2870,7560,Saskatchewan,Conservative
255,47,47011.0,Saskatoon--University,62940,3594118000.0,2550,6260,7030,6390,5750,5140,4900,5110,4970,4400,3250,2280,4900,Saskatchewan,Conservative
256,47,47012.0,Saskatoon West,66310,2769759000.0,2490,5640,7420,7680,6670,5560,5340,5410,5420,4480,3440,2290,4460,Saskatchewan,NDP
257,47,47013.0,Souris--Moose Mountain,59100,3049144000.0,2570,4590,5030,5070,4980,4380,4210,4920,5300,4850,3850,2980,6370,Saskatchewan,Conservative
258,47,47014.0,Yorkton--Melville,55370,2371779000.0,2160,3800,3780,3850,4010,3750,3730,4540,5030,5040,4410,3420,7860,Saskatchewan,Conservative
259,48,48001.0,Banff--Airdrie,106530,6815209000.0,4330,8470,10770,12090,11730,10350,9170,8830,8710,7680,5640,3610,5150,Alberta,Conservative
260,48,48002.0,Battle River--Crowfoot,95550,4651508000.0,4610,7220,7180,7580,7200,6890,6850,8180,9060,8280,6930,5370,10220,Alberta,Conservative
261,48,48003.0,Bow River,87290,4372190000.0,4970,7000,7030,8030,8260,7990,7610,7600,7510,6550,5230,3630,5890,Alberta,Conservative
262,48,48004.0,Calgary Centre,95670,8468133000.0,1880,6180,14150,14450,10150,8080,7090,6750,6990,6090,4460,2990,6430,Alberta,Liberal
