Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above,FED ID,,FED ID,Federal Electoral Districts,No Certificate,Secondary School Diploma,Non-university certificate or diploma,University level or above
Québec,127415,171160,182000,337200,46008,817775,46008,Québec,16%,21%,22%,41%
Red Deer--Lacombe,246785,375095,253865,143660,24,1019405,24,Red Deer--Lacombe,24%,37%,25%,14%
Red Deer--Mountain View,191575,343870,254820,168955,24059,959220,24059,Red Deer--Mountain View,20%,36%,27%,18%
Regina--Lewvan,102225,283350,149185,256015,48030,790775,48030,Regina--Lewvan,13%,36%,19%,32%
Regina--Qu'Appelle,154230,235110,113285,103575,48029,606200,48029,Regina--Qu'Appelle,25%,39%,19%,17%
Regina--Wascana,109850,256410,120445,245350,47007,732055,47007,Regina--Wascana,15%,35%,16%,34%
Renfrew--Nipissing--Pembroke,172675,307535,258015,139025,47008,877250,47008,Renfrew--Nipissing--Pembroke,20%,35%,29%,16%
Repentigny,192990,262440,210445,161585,47009,827460,47009,Repentigny,23%,32%,25%,20%
Richmond Centre,115270,290310,146160,358490,35086,910230,35086,Richmond Centre,13%,32%,16%,39%
Richmond Hill,132030,261970,171825,465395,24060,1031220,24060,Richmond Hill,13%,25%,17%,45%
Richmond--Arthabaska,245610,198380,170605,117210,59025,731805,59025,Richmond--Arthabaska,34%,27%,23%,16%
Rimouski-Neigette--Témiscouata--Les Basques,157735,157245,153790,133780,35087,602550,35087,Rimouski-Neigette--Témiscouata--Les Basques,26%,26%,26%,22%
Rivière-des-Mille-Îles,174605,233755,193210,173695,24061,775265,24061,Rivière-des-Mille-Îles,23%,30%,25%,22%
Rivière-du-Nord,239660,243375,187880,120335,24018,791250,24018,Rivière-du-Nord,30%,31%,24%,15%
Rosemont--La Petite-Patrie,140540,176810,205610,478370,24062,1001330,24062,Rosemont--La Petite-Patrie,14%,18%,21%,48%
Saanich--Gulf Islands,112370,286675,190595,319555,24063,909195,24063,Saanich--Gulf Islands,12%,32%,21%,35%
Sackville--Preston--Chezzetcook,135120,234600,216685,154700,24064,741105,24064,Sackville--Preston--Chezzetcook,18%,32%,29%,21%
Saint Boniface--Saint Vital,123070,250720,163620,249575,59027,786985,59027,Saint Boniface--Saint Vital,16%,32%,21%,32%
Saint John--Rothesay,128990,244090,173525,151290,12008,697895,12008,Saint John--Rothesay,18%,35%,25%,22%
Saint-Hyacinthe--Bagot,246045,224950,163160,99490,46009,733645,46009,Saint-Hyacinthe--Bagot,34%,31%,22%,14%
Saint-Jean,218925,249580,194425,141770,13009,804700,13009,Saint-Jean,27%,31%,24%,18%
Saint-Laurent,140380,184450,151755,341825,24066,818410,24066,Saint-Laurent,17%,23%,19%,42%
Saint-Léonard--Saint-Michel,273830,238840,163260,175495,24067,851425,24067,Saint-Léonard--Saint-Michel,32%,28%,19%,21%
Saint-Maurice--Champlain,237870,223820,191320,113330,24068,766340,24068,Saint-Maurice--Champlain,31%,29%,25%,15%
Salaberry--Suroît,265985,257890,179110,106850,24069,809835,24069,Salaberry--Suroît,33%,32%,22%,13%
Sarnia--Lambton,149145,293615,299700,154490,24070,896950,24070,Sarnia--Lambton,17%,33%,33%,17%
Saskatchewan,1977315,3166505,1781050,1954760,24071,8879630,24071,Saskatchewan,22%,36%,20%,22%
Saskatoon West,151150,261685,138865,156875,35091,708575,35091,Saskatoon West,21%,37%,20%,22%
Saskatoon--Grasswood,91245,224765,140205,266840,47,723055,47,Saskatoon--Grasswood,13%,31%,19%,37%
Saskatoon--University,85370,222615,142550,282350,47012,732885,47012,Saskatoon--University,12%,30%,19%,39%
Sault Ste. Marie,136385,230665,201995,138605,47010,707650,47010,Sault Ste. Marie,19%,33%,29%,20%
Scarborough Centre,204865,333670,202325,272260,47011,1013120,47011,Scarborough Centre,20%,33%,20%,27%
Scarborough North,229105,302365,154195,234355,35092,920020,35092,Scarborough North,25%,33%,17%,25%
Scarborough Southwest,189135,308610,202110,287955,35094,987810,35094,Scarborough Southwest,19%,31%,20%,29%
Scarborough--Agincourt,206625,296125,171750,309300,35096,983800,35096,Scarborough--Agincourt,21%,30%,17%,31%
Scarborough--Guildwood,184535,293425,188465,253540,35098,919965,35098,Scarborough--Guildwood,20%,32%,20%,28%
Scarborough--Rouge Park,157810,301905,211230,257540,35093,928485,35093,Scarborough--Rouge Park,17%,33%,23%,28%
Selkirk--Interlake--Eastman,194490,273940,175915,106665,35095,751010,35095,Selkirk--Interlake--Eastman,26%,36%,23%,14%
Shefford,246020,259195,170350,123460,35097,799025,35097,Shefford,31%,32%,21%,15%
Sherbrooke,190465,213540,204700,249320,46010,858025,46010,Sherbrooke,22%,25%,24%,29%
Sherwood Park--Fort Saskatchewan,142665,335140,270570,232925,24072,981300,24072,Sherwood Park--Fort Saskatchewan,15%,34%,28%,24%
Simcoe North,213270,326175,274410,145225,24073,959080,24073,Simcoe North,22%,34%,29%,15%
Simcoe--Grey,218260,395950,299615,197120,48032,1110945,48032,Simcoe--Grey,20%,36%,27%,18%
Skeena--Bulkley Valley,210150,252735,153705,102900,35100,719490,35100,Skeena--Bulkley Valley,29%,35%,21%,14%
Souris--Moose Mountain,143150,232585,114550,75440,35099,565725,35099,Souris--Moose Mountain,25%,41%,20%,13%
South Okanagan--West Kootenay,188365,323305,244210,155895,59028,911775,59028,South Okanagan--West Kootenay,21%,35%,27%,17%
South Shore--St. Margarets,203405,218020,202140,145100,47013,768665,47013,South Shore--St. Margarets,26%,28%,26%,19%
South Surrey--White Rock,102045,277445,187795,298670,59029,865955,59029,South Surrey--White Rock,12%,32%,22%,34%
Spadina--Fort York,73495,205280,188370,911820,12009,1378965,12009,Spadina--Fort York,5%,15%,14%,66%
St. Albert--Edmonton,158695,327565,253000,264710,59030,1003970,59030,St. Albert--Edmonton,16%,33%,25%,26%
St. Catharines,179875,342170,259460,206900,35101,988405,35101,St. Catharines,18%,35%,26%,21%
St. John's East,102165,201570,188235,273185,48031,765155,48031,St. John's East,13%,26%,25%,36%
St. John's South--Mount Pearl,127605,224780,211610,178285,35089,742280,35089,St. John's South--Mount Pearl,17%,30%,29%,24%
Steveston--Richmond East,129380,299850,152490,338690,10006,920410,10006,Steveston--Richmond East,14%,33%,17%,37%
Stormont--Dundas--South Glengarry,206125,310315,251145,109830,10007,877415,10007,Stormont--Dundas--South Glengarry,23%,35%,29%,13%
Sturgeon River--Parkland,192340,351805,247045,139775,59031,930965,59031,Sturgeon River--Parkland,21%,38%,27%,15%
Sudbury,161780,226420,243785,188375,35102,820360,35102,Sudbury,20%,28%,30%,23%
Surrey Centre,254930,406205,188045,217030,48033,1066210,48033,Surrey Centre,24%,38%,18%,20%
Surrey--Newton,242415,387480,154725,221465,35103,1006085,35103,Surrey--Newton,24%,39%,15%,22%
Sydney--Victoria,153725,188205,141055,105095,59032,588080,59032,Sydney--Victoria,26%,32%,24%,18%
Terrebonne,195400,245360,190245,148820,59033,779825,59033,Terrebonne,25%,31%,24%,19%
Thérèse-De Blainville,155875,208390,191150,204480,12010,759895,12010,Thérèse-De Blainville,21%,27%,25%,27%
Thornhill,114250,247335,179965,483860,24075,1025410,24075,Thornhill,11%,24%,18%,47%
Thunder Bay--Rainy River,162495,226450,201945,123250,24013,714140,24013,Thunder Bay--Rainy River,23%,32%,28%,17%
Thunder Bay--Superior North,157895,198275,194250,168150,35104,718570,35104,Thunder Bay--Superior North,22%,28%,27%,23%
Timmins--James Bay,214655,205005,210430,80215,35105,710305,35105,Timmins--James Bay,30%,29%,30%,11%
Tobique--Mactaquac,135045,213390,142575,94460,35106,585470,35106,Tobique--Mactaquac,23%,36%,24%,16%
Toronto Centre,92470,235315,161720,609320,35107,1098825,35107,Toronto Centre,8%,21%,15%,55%
Toronto--Danforth,155615,227990,173135,461270,13010,1018010,13010,Toronto--Danforth,15%,22%,17%,45%
Toronto--St. Paul's,94660,195340,156125,606415,35108,1052540,35108,Toronto--St. Paul's,9%,19%,15%,58%
Trois-Rivières,186660,220345,209905,205245,35109,822155,35109,Trois-Rivières,23%,27%,26%,25%
University--Rosedale,84945,214710,113565,670370,35090,1083590,35090,University--Rosedale,8%,20%,10%,62%
Vancouver Centre,52375,243350,229395,726945,24076,1252065,24076,Vancouver Centre,4%,19%,18%,58%
Vancouver East,173030,298835,202825,424195,35110,1098885,35110,Vancouver East,16%,27%,18%,39%
Vancouver Granville,77305,233585,159370,554895,59034,1025155,59034,Vancouver Granville,8%,23%,16%,54%
Vancouver Kingsway,196430,310285,162645,319600,59035,988960,59035,Vancouver Kingsway,20%,31%,16%,32%
Vancouver Quadra,74685,225410,119170,574555,59036,993820,59036,Vancouver Quadra,8%,23%,12%,58%
Vancouver South,184255,314050,150680,292815,59038,941800,59038,Vancouver South,20%,33%,16%,31%
Vaudreuil--Soulanges,156695,273145,238415,245315,59039,913570,59039,Vaudreuil--Soulanges,17%,30%,26%,27%
Vaughan--Woodbridge,209025,271700,184155,261035,59040,925915,59040,Vaughan--Woodbridge,23%,29%,20%,28%
Victoria,107880,298490,203230,470610,24074,1080210,24074,Victoria,10%,28%,19%,44%
Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,96810,211865,171185,664450,35111,1144310,35111,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,8%,19%,15%,58%
Vimy,210065,232690,186965,231950,59041,861670,59041,Vimy,24%,27%,22%,27%
Waterloo,123600,289870,184500,428995,24077,1026965,24077,Waterloo,12%,28%,18%,42%
Wellington--Halton Hills,176580,336205,275470,252605,24078,1040860,24078,Wellington--Halton Hills,17%,32%,26%,24%
West Nova,201450,188950,193705,97160,35112,681265,35112,West Nova,30%,28%,28%,14%
West Vancouver--Sunshine Coast--Sea to Sky Country,120535,297775,194105,391040,35113,1003455,35113,West Vancouver--Sunshine Coast--Sea to Sky Country,12%,30%,19%,39%
Whitby,153910,337890,309110,315465,12011,1116375,12011,Whitby,14%,30%,28%,28%
Willowdale,98515,259540,161090,672390,59042,1191535,59042,Willowdale,8%,22%,14%,56%
Windsor West,211440,372315,231780,297220,35114,1112755,35114,Windsor West,19%,33%,21%,27%
Windsor--Tecumseh,186395,365580,269165,222520,35115,1043660,35115,Windsor--Tecumseh,18%,35%,26%,21%
Winnipeg Centre,177180,238990,138175,214230,35117,768575,35117,Winnipeg Centre,23%,31%,18%,28%
Winnipeg North,208285,276095,153340,188190,35116,825910,35116,Winnipeg North,25%,33%,19%,23%
Winnipeg South,106155,280430,163960,348805,46011,899350,46011,Winnipeg South,12%,31%,18%,39%
Winnipeg South Centre,92900,239630,141185,394125,46012,867840,46012,Winnipeg South Centre,11%,28%,16%,45%
Yellowhead,231690,295035,176405,91525,46013,794655,46013,Yellowhead,29%,37%,22%,12%
York Centre,176325,269800,181580,326070,46014,953775,46014,York Centre,18%,28%,19%,34%
York South--Weston,310205,340260,204665,180735,48034,1035865,48034,York South--Weston,30%,33%,20%,17%
York--Simcoe,185125,318235,240145,162505,35118,906010,35118,York--Simcoe,20%,35%,27%,18%
Yorkton--Melville,156875,213740,115460,70100,35120,556175,35120,Yorkton--Melville,28%,38%,21%,13%
Yukon,109900,167260,149500,182120,35119,608780,35119,Yukon,18%,27%,25%,30%
Grand Total,173948695,268312465,201761655,248317525,47014,892340340,47014,Grand Total,19%,30%,23%,28%
,,,,,60,0,60,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,60001,0,60001,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
